iterations,slope,intercept
250500,616.0046913502897,226009.5699428847
251000,615.9270941097903,226014.50988581084
251500,615.8504756144199,226019.38752052802
252000,615.7748235191268,226024.20363293856
252500,615.700125634571,226028.95899903192
253000,615.6263699251514,226033.65438501045
253500,615.5535445070793,226038.29054741174
254000,615.481637646461,226042.8682332311
254500,615.410637757387,226047.38818004276
255000,615.3405334001008,226051.8511161168
255500,615.2713132791372,226056.25776053738
256000,615.2029662414998,226060.6088233191
256500,615.1354812748506,226064.90500552193
257000,615.068847505769,226069.14699936216
257500,615.0030541979777,226073.33548832542
258000,614.9380907506207,226077.47114727623
258500,614.8739466965476,226081.55464256724
259000,614.8106117006326,226085.58663214618
259500,614.7480755581067,226089.56776566218
260000,614.6863281929243,226093.49868456958
260500,614.6253596561272,226097.38002223225
261000,614.5651601242325,226101.21240402607
261500,614.5057198976687,226104.9964474386
262000,614.4470293992092,226108.73276216877
262500,614.3890791724342,226112.42195022473
263000,614.3318598801827,226116.06460602253
263500,614.2753623030791,226119.6613164798
264000,614.2195773380232,226123.2126611119
264500,614.1644959967348,226126.71921212468
265000,614.1101094043102,226130.18153450618
265500,614.0564087977809,226133.60018611862
266000,614.0033855247107,226136.97571778754
266500,613.9510310417904,226140.30867339126
267000,613.8993369134741,226143.59958994776
267500,613.8482948106176,226146.84899770143
268000,613.7978965091309,226150.05742020873
268500,613.7481338886536,226153.22537442244
269000,613.6989989312549,226156.3533707747
269500,613.650483720121,226159.44191326035
270000,613.6025804383049,226162.4914995166
270500,613.5552813674586,226165.5026209036
271000,613.5085788865769,226168.47576258468
271500,613.4624654707903,226171.41140360295
272000,613.4169336901359,226174.31001695973
272500,613.3719762083634,226177.17206969034
273000,613.3275857817629,226179.99802293896
273500,613.283755257983,226182.7883320338
274000,613.24047757489,226185.5434465595
274500,613.19774575943,226188.26381042995
275000,613.1555529264841,226190.94986196098
275500,613.1138922777977,226193.6020339384
276000,613.072757100852,226196.22075369005
276500,613.0321407677992,226198.8064431535
277000,612.9920367343783,226201.359518945
277500,612.9524385388864,226203.88039242517
278000,612.9133398011146,226206.36946976653
278500,612.8747342213352,226208.82715201803
279000,612.8366155792733,226211.25383517062
279500,612.7989777331181,226213.6499102201
280000,612.7618146185163,226216.01576323126
280500,612.7251202476081,226218.3517753991
281000,612.6888887080707,226220.65832310994
281500,612.6531141621343,226222.9357780039
282000,612.6177908456883,226225.18450703195
282500,612.5829130672987,226227.40487251824
283000,612.5484752073339,226229.59723221595
283500,612.5144717170409,226231.76193936606
284000,612.4808971176401,226233.8993427549
284500,612.4477459994928,226236.00978676724
285000,612.4150130211482,226238.0936114469
285500,612.3826929085639,226240.15115254637
286000,612.3507804541914,226242.18274158507
286500,612.3192705161847,226244.18870589978
287000,612.2881580175494,226246.1693686986
287500,612.2574379453266,226248.12504911318
288000,612.2271053497774,226250.05606225037
288500,612.1971553436139,226251.96271924145
289000,612.1675831011734,226253.84532729443
289500,612.1383838576735,226255.7041897417
290000,612.1095529084248,226257.53960609
290500,612.0810856080733,226259.3518720687
291000,612.0529773698731,226261.1412796761
291500,612.0252236649163,226262.9081172285
292000,611.9978200214182,226264.6526694056
292500,611.9707620240065,226266.37521729583
293000,611.9440453129968,226268.07603844246
293500,611.9176655836981,226269.75540688785
294000,611.8916185857114,226271.413593218
294500,611.8659001222471,226273.05086460605
295000,611.8405060494503,226274.66748485534
295500,611.8154322757442,226276.263714441
296000,611.7906747611432,226277.83981055388
296500,611.7662295166252,226279.39602714044
297000,611.7420926034827,226280.93261494394
297500,611.7182601326892,226282.449821545
298000,611.6947282642727,226283.94789140127
298500,611.6714932066844,226285.4270658878
299000,611.6485512162176,226286.8875833339
299500,611.6258985963722,226288.32967906367
300000,611.6035316972619,226289.75358543365
